filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.181490249970572,0.024373591399788595,0.196113074204947,0.025147990598810014,50.99107885360718
Blur,0.18041869095423305,0.021414123476496398,0.19858657243816255,0.021307156793895877,47.792436599731445
Contour,0.14490364685399823,0.02440253077713263,0.15300353356890461,0.026492342258270754,38.28071594238281
Detail,0.17199271755343046,0.01946735772043456,0.18692579505300352,0.019188938491004188,46.822959661483765
Emboxx,0.12158238168336352,0.016658334929725238,0.13568904593639575,0.01658896762446007,44.39581346511841
Find Edges,0.15254616024967219,0.015634274794490345,0.16148409893992932,0.012939811606784842,40.10395622253418
Sharpen,0.1657946264908901,0.033530384611379103,0.1763250883392226,0.036566889867802585,50.94236969947815
Smooth,0.17481023093099965,0.0183143165960027,0.18763250883392227,0.021577928820879187,48.030179023742676
Smooth More,0.18693129336228578,0.024128110368491898,0.20494699646643108,0.02284555459398532,48.068081855773926
Edge Enhance,0.17418232762741687,0.01605801477080809,0.18445229681978798,0.014116596717624157,44.49887013435364
Edge Enhance More,0.16289529322421017,0.017133488362237256,0.16819787985865725,0.018644390047028867,42.36739683151245
