filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.19279003294753122,0.02882284652729801,0.23286219081272086,0.027663579542119905,5.050065040588379
Blur,0.17968676828377242,0.019272512616233518,0.22791519434628976,0.02654883923146549,4.740833520889282
Contour,0.1563647615165173,0.020859696177923274,0.19823321554770318,0.017557962189123453,3.503633975982666
Detail,0.16979684323978972,0.02290060997538705,0.223321554770318,0.025715060634148773,4.622687101364136
Emboxx,0.1399167835769029,0.018978843602922523,0.18056537102473497,0.013263833483479476,4.290182113647461
Find Edges,0.16652665801586367,0.025825260993030726,0.19752650176678443,0.019511572709934304,3.715769052505493
Sharpen,0.16864999847962592,0.015169347746191334,0.211660777385159,0.020079254622156005,5.319350004196167
Smooth,0.18965357185946768,0.025257415696597812,0.23568904593639575,0.024072397639930878,4.783259153366089
Smooth More,0.1862925543314479,0.019456808204778388,0.22579505300353353,0.019253897845689434,4.765873908996582
Edge Enhance,0.18384634314224693,0.020426353086879158,0.211660777385159,0.018459304433369576,4.340123891830444
Edge Enhance More,0.1828492072331803,0.02139046342462305,0.21378091872791521,0.01904524802574115,4.0284998416900635
