filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8540136814117432
Blur,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.862684965133667
Contour,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8456377983093262
Detail,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8639943599700928
Emboxx,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8719851970672607
Find Edges,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8290882110595703
Sharpen,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.821159839630127
Smooth,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8251323699951172
Smooth More,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.858062505722046
Edge Enhance,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8151769638061523
Edge Enhance More,0.015584334456158557,0.005442181493146027,0.09081272084805654,0.017314487632508837,1.8341259956359863
