filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.08750991891697629,0.014245782379589378,0.12226148409893996,0.017468843949552334,2.5494165420532227
Blur,0.08311984820877007,0.01922865118625243,0.11484098939929328,0.02097940298063236,2.1996512413024902
Contour,0.2079099367834027,0.02454381700926436,0.21095406360424027,0.021554770318021204,2.202197313308716
Detail,0.09276598912767452,0.011480727613950838,0.1257950530035336,0.014414189437718121,2.219146251678467
Emboxx,0.22086914788213868,0.020046484713466824,0.23639575971731447,0.016380674185864676,2.205386161804199
Find Edges,0.19797587447423248,0.013487540706641935,0.20706713780918723,0.014063426672885088,2.2193641662597656
Sharpen,0.09607971031100104,0.01344586519305451,0.12968197879858656,0.01524357216263109,2.49191951751709
Smooth,0.08820011532018542,0.013568177965355678,0.123321554770318,0.016757463888875446,2.211097478866577
Smooth More,0.08960344613738486,0.013012878189857455,0.1226148409893993,0.01604178015945748,2.1828017234802246
Edge Enhance,0.10346051121515683,0.011954431662234904,0.13109540636042402,0.016072883979567715,2.1921379566192627
Edge Enhance More,0.10576781637808161,0.012434145881526786,0.13250883392226148,0.018513338370925423,2.23754620552063
