filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.3101007750987801,0.037474416336625224,0.32932862190812723,0.03564528682097099,14.48185420036316
Blur,0.3431133275975234,0.03253968130576965,0.3586572438162544,0.03169396607277903,11.03062653541565
Contour,0.23491522786894775,0.029036289274942666,0.2480565371024735,0.028958022966145407,14.402210712432861
Detail,0.2938329675202383,0.03716214368385904,0.31272084805653705,0.03330751871172575,13.2225661277771
Emboxx,0.23637951620267117,0.022981073394714793,0.24982332155477033,0.02240683938160804,12.847815036773682
Find Edges,0.2524268784981209,0.031963204388602874,0.2639575971731448,0.030192893749164628,14.562634706497192
Sharpen,0.27934255688699605,0.03106805410353488,0.3010600706713781,0.030470757791251017,13.789214134216309
Smooth,0.3306893865687095,0.031762550380309944,0.34664310954063604,0.03251843459401689,11.772041082382202
Smooth More,0.327543418365957,0.028772827211263396,0.3427561837455831,0.027461991841308053,11.852550745010376
Edge Enhance,0.26449967314796724,0.03362835357318749,0.27703180212014133,0.032508833922261476,14.341249942779541
Edge Enhance More,0.2730882599075301,0.03963569814834282,0.28480565371024735,0.037800930375452534,14.631040573120117
