filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.31879347961000337,0.03724466860156572,0.3448763250883392,0.037569000310959756,1174.4597265720367
Blur,0.26740486524230894,0.05221657565774647,0.2742049469964664,0.044111622711879114,865.015145778656
Contour,0.3449601038339094,0.11217810136658088,0.3236749116607774,0.11412059999680255,1549.4650111198425
Detail,0.3477489860611793,0.03575452849424234,0.3441696113074205,0.021736475617285797,1049.418881893158
Emboxx,0.3224211984334044,0.042486446828988694,0.3127208480565371,0.08041101697552532,1440.7690062522888
Find Edges,0.3573418718013772,0.047438271419247294,0.39010600706713777,0.03433930915408153,769.6003057956696
Sharpen,0.3480648049008849,0.03767375110107422,0.3646643109540636,0.03163679050968112,1194.872457742691
Smooth,0.29242720353458684,0.04991581351472004,0.32367491166077744,0.026357676606320164,975.7354702949524
Smooth More,0.31970440235591685,0.02752894734641202,0.30565371024734983,0.028323709437953003,1115.9885532855988
Edge Enhance,0.3751625044775201,0.03493831546314515,0.3840989399293286,0.043908770446394275,1107.699942111969
Edge Enhance More,0.35285841604419577,0.03364578275134368,0.35901060070671376,0.04379915316564288,1174.5386216640472
