filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.31365461220623814,0.019358158278733974,0.24911660777385158,0.015743229264979133,5.30815863609314
Blur,0.31677187031176246,0.020161749371986167,0.25265017667844525,0.01574322926497913,4.879954099655151
Contour,0.30807180353239455,0.02258848219127322,0.246643109540636,0.020773057889327307,4.909382343292236
Detail,0.3106185234857646,0.017935554478619824,0.2462897526501767,0.01482836414018183,4.835235834121704
Emboxx,0.31144706726542615,0.020120379077563196,0.2487632508833922,0.018100704558114068,4.8774943351745605
Find Edges,0.3030193735586978,0.019188608476262536,0.2367491166077739,0.01716601809398038,4.919154167175293
Sharpen,0.30849113816022544,0.020796082363062577,0.2420494699646643,0.019816360272522898,5.4246485233306885
Smooth,0.31681370229352046,0.020736086065451104,0.2515901060070672,0.017724291454394987,5.038505792617798
Smooth More,0.3132320681290211,0.017342191392049264,0.24628975265017666,0.015963755474313102,4.850923776626587
Edge Enhance,0.31000936959081093,0.02167148524340486,0.2441696113074205,0.022815474851389298,4.876964330673218
Edge Enhance More,0.2997876985441855,0.0249545105105629,0.23215547703180212,0.023811640408242324,4.855022430419922
