filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,114.39511585235596
Blur,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,104.47435641288757
Contour,0.25575839860960176,0.01620653459350798,0.26360424028268553,0.018169554957148323,102.89398241043091
Detail,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,103.0270938873291
Emboxx,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,103.17904925346375
Find Edges,0.25575839860960176,0.01620653459350798,0.26360424028268553,0.018169554957148323,103.0689926147461
Sharpen,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,117.69650745391846
Smooth,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,102.6871349811554
Smooth More,0.2567434142216992,0.014788131976697802,0.2653710247349823,0.016227508838452344,103.00284814834595
Edge Enhance,0.25575839860960176,0.01620653459350798,0.26360424028268553,0.018169554957148323,102.52802658081055
Edge Enhance More,0.25575839860960176,0.01620653459350798,0.26360424028268553,0.018169554957148323,103.40314507484436
