filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.22373408619340474,0.025018261942047055,0.2780918727915194,0.021380281989266215,2.1687355041503906
Blur,0.22326134484729296,0.02777263803515583,0.2756183745583039,0.016798394804246948,1.9169018268585205
Contour,0.1326170036545043,0.01790231878474979,0.1893992932862191,0.018169554957148327,1.9152886867523193
Detail,0.21904294592506063,0.012135058716051033,0.26855123674911663,0.014739684533296266,1.9597842693328857
Emboxx,0.1440043951458975,0.02170411684548338,0.18763250883392227,0.017557962189123456,1.942481517791748
Find Edges,0.1307493083551277,0.019696197098055104,0.19187279151943465,0.016727633043879333,1.8945872783660889
Sharpen,0.19414683291946605,0.02100079992613161,0.2547703180212014,0.015679652107656393,2.1558141708374023
Smooth,0.22044566359489629,0.022588441340931218,0.2763250883392226,0.0264333628399506,1.8904869556427002
Smooth More,0.2098122127220619,0.027215594074421035,0.2816254416961131,0.02132180189617751,1.901038408279419
Edge Enhance,0.18585547846909328,0.025441731997929887,0.24699646643109538,0.016831809701504677,1.9437878131866455
Edge Enhance More,0.17728090398424118,0.013490965558217938,0.23215547703180217,0.020240287620663863,1.8819704055786133
