filter,f1 score,f1 score standard deviation,accuracy,accuracy standard deviation,time to train
none,0.4197689760628426,0.026592521964703412,0.42897526501766786,0.026966479191998464,72.3182156085968
Blur,0.25694805843649676,0.0386052118423943,0.25724381625441695,0.0376553125222819,62.106228828430176
Contour,0.4397567075945775,0.034122597847693246,0.44946996466431105,0.03347765168148977,81.3781418800354
Detail,0.4232675481414104,0.03546187810862202,0.4353356890459364,0.03450616428475959,68.31475448608398
Emboxx,0.4080341396300776,0.028475387690461318,0.4212014134275618,0.03218458667628466,70.80288553237915
Find Edges,0.44059355835648456,0.03278981276517886,0.4487632508833922,0.0327308443163517,80.9659366607666
Sharpen,0.42196411625403385,0.032793431574791976,0.43568904593639574,0.031999778370794145,74.71073913574219
Smooth,0.32198977455020994,0.03451500262900675,0.3254416961130743,0.033613509513672014,61.7629976272583
Smooth More,0.3511124515706128,0.02082694149519781,0.35441696113074206,0.020485559068036393,62.78797650337219
Edge Enhance,0.4138927687144589,0.034771596236909404,0.4318021201413427,0.03647629088498642,73.83467864990234
Edge Enhance More,0.41402472208769553,0.026952567540375724,0.4321554770318022,0.0266802002558483,76.91459703445435
